name,byte_theory,byte_os,byte_encoded,ratio_theory,ratio_os
R_1_E_0_S_9_B_129.pt,29362176,29364271,20102195.5,0.31537105764913337,0.31541990264290914
R_0_E_0_S_1_B_19.pt,29362176,29364264,25521665.25,0.1307978928400947,0.13085969905460595
R_1_E_0_S_30_B_32.pt,135790592,135792303,64887617,0.5221493916161732,0.5221554125935989
R_0_E_0_S_33_B_86.pt,135790592,135792303,68913009.5,0.49250527238293507,0.4925116668799704
R_1_E_0_S_45_B_118.pt,135790592,135792310,41197649,0.6966089594778407,0.6966127978822954
R_0_E_0_S_2_B_123.pt,135790592,135792303,75641940.75,0.4429515356262678,0.4429585545065835
R_1_E_0_S_25_B_95.pt,29381632,29383791,12088157.5,0.5885811414423814,0.5886113708064422
R_0_E_0_S_26_B_113.pt,135790592,135792310,47232100.5,0.6521695663569977,0.6521739669941545
R_0_E_0_S_49_B_126.pt,135790592,135792310,43611375.25,0.6788336024781452,0.6788376657706169
R_1_E_0_S_1_B_22.pt,135790592,135792296,112793336.5,0.16935823875044304,0.1693686621220397
R_1_E_0_S_19_B_118.pt,135790592,135792310,49883917.5,0.6326408423051871,0.6326454900133889
R_0_E_0_S_47_B_15.pt,29381632,29383791,12972796.25,0.5584725773571734,0.5585050189745768
R_0_E_0_S_47_B_129.pt,29362176,29364278,15201347.25,0.482281311507703,0.48231837166233066
R_1_E_0_S_2_B_63.pt,135790592,135792296,94242962,0.30596839875328036,0.30597710786184806
R_1_E_0_S_34_B_51.pt,135790592,135792303,65587361,0.516996280567066,0.5170023664743354
R_0_E_0_S_38_B_71.pt,135790592,135792303,63788051,0.5302469039975907,0.5302528229453477
R_0_E_0_S_9_B_102.pt,135790592,135792303,75520050,0.4438491732917697,0.44385618086173856
R_0_E_0_S_8_B_6.pt,135790592,135792289,82077400.75,0.3955590034543778,0.3955665571702676
R_0_E_0_S_6_B_103.pt,135790592,135792303,85108047.5,0.37324047088623047,0.37324836813467993
R_1_E_0_S_13_B_86.pt,135790592,135792303,91095792.5,0.3291450375295514,0.3291534903859757
R_0_E_0_S_21_B_41.pt,135790592,135792303,64855576.5,0.522385346843469,0.5223913648478294
R_0_E_0_S_31_B_116.pt,135790592,135792310,53053492.5,0.6092992031436169,0.6093041461626214
R_0_E_0_S_3_B_122.pt,135790592,135792303,103426862.3,0.23833558181998352,0.23834517888690643
R_0_E_0_S_3_B_77.pt,135790592,135792296,104561213.5,0.2299819011025447,0.2299915637334831
R_1_E_0_S_0_B_56.pt,135790592,135792296,125465478.5,0.07603703134308451,0.07604862576298142
R_1_E_0_S_5_B_38.pt,135790592,135792296,73857640.75,0.4560916212074545,0.45609844648329684
R_0_E_0_S_1_B_81.pt,135790592,135792296,129421639.3,0.04690275413189155,0.04691471414549173
R_1_E_0_S_26_B_130.pt,29381632,29383798,10195796.25,0.6529874089363041,0.653012988654496
R_1_E_0_S_45_B_34.pt,29362176,29364271,17294576.75,0.41099131242861564,0.41103333537549763
R_1_E_0_S_45_B_111.pt,135790592,135792310,49172324.75,0.6378812108721051,0.6378857922808736
R_1_E_0_S_6_B_67.pt,135790592,135792296,83876813.25,0.3823076251851086,0.3823153763450616
R_0_E_0_S_20_B_107.pt,135790592,135792310,68413748.25,0.49618197223854804,0.4961883463798502
R_1_E_0_S_33_B_42.pt,135790592,135792303,63246737.75,0.5342332865740802,0.5342391552929182
R_1_E_0_S_40_B_112.pt,135790592,135792310,47547829,0.649844453141496,0.6498488831952266
R_0_E_0_S_14_B_114.pt,29362176,29364278,19753854.75,0.3272346453478107,0.3272828042971123
R_0_E_0_S_41_B_51.pt,135790592,135792303,63372513,0.5333070423612263,0.5333129227508573
R_1_E_0_S_29_B_64.pt,29362176,29364271,17962349.75,0.3882486859965692,0.38829233152084724
R_0_E_0_S_15_B_122.pt,135790592,135792310,59818224.75,0.5594818177830758,0.5594873910753856
R_1_E_0_S_19_B_41.pt,135790592,135792303,70945054.5,0.4775407231452382,0.4775473061974654
R_1_E_0_S_26_B_51.pt,135790592,135792303,66262647.5,0.5120232814067119,0.5120294299743926
R_1_E_0_S_51_B_64.pt,29362176,29364271,16687843.25,0.43165509088972154,0.4316956395750468
R_1_E_0_S_43_B_40.pt,29381632,29383791,14130931.75,0.5190555871777306,0.5190909249933067
R_1_E_0_S_24_B_54.pt,29362176,29364271,17646864,0.39899331711655156,0.39903619606289564
R_1_E_0_S_50_B_135.pt,29381632,29383798,6223681,0.788177831646656,0.7881934459255403
